Station,Latitude,Longitude
ON.DUB01,-22.080966,                    -42.374182
ON.GDU01,-13.72,                    -39.575278
ON.GUA01,-16.58349,                    -39.805342
ON.JAC01,-24.81142,                    -48.102354
ON.MAJ01,-27.397245,                    -49.011794
ON.MAN01,-22.86516,                    -43.964094
ON.NAN01,-17.844167,                    -40.125667
ON.ON02,-22.896781,                    -43.224618
ON.PET01,-24.290108,                    -47.275344
ON.POA01,-27.43,                    -50.38
ON.RIB01,-19.314216,                    -40.394365
ON.SLP01,-23.3243,                    -45.1559
ON.TER01,-28.531839,                    -49.129072
ON.TIJ01,-25.908848,                    -49.024241
ON.TRI01,-20.50758,                    -29.31458
ON.VAS01,-22.280081,                    -43.442624
ON.STA01,-23.049408,                    -45.016808
ON.STA02,-22.977707,                    -45.072017
ON.STA03,-22.840839,                    -45.194141
ON.STA04,-22.673525,                    -45.323162
ON.STA05,-22.5325,                    -45.432383
ON.STA06,-22.386261,                    -45.549086
ON.STA07,-22.241667,                    -45.647361
ON.STA08,-22.050056,                    -45.781374
ON.STA09,-21.903929,                    -45.946331
ON.STA10,-21.98335,                    -46.29471
ON.STA11,-22.12999,                    -46.20536
ON.STA12,-22.32379,                    -46.01047
ON.STA13,-22.52571,                    -45.86029
ON.STA14,-22.67147,                    -45.77467
ON.STA15,-23.10378,                    -45.39983
ON.STA16,-23.2387,                    -45.25919
ON.STA17,-23.0337,                    -46.62914
ON.STA18,-22.84539,                    -46.52033
ON.STA19,-22.71191,                    -46.27943
ON.STA20,-22.56621,                    -45.96951
ON.STA21,-22.39548,                    -45.75364
ON.STA22,-22.21361,                    -45.53215
ON.STA23,-22.06692,                    -45.33267
ON.STA24,-21.83834,                    -44.89324
BR.SAMA,-8.8617,                    -47.5886
NB.NBAN,-9.668694,                    -36.2745
NB.NBBC,-5.5221,                    -45.2843
NB.NBCA,-8.2256,                    -36.01296
NB.NBCB,-9.125277,                    -38.059756
NB.NBCL,-4.224352,                    -38.290972
NB.NBIT,-14.930689,                    -39.434579
NB.NBJC,-5.584303,                    -35.786143
NB.NBLA,-10.99255,                    -37.789
NB.NBLV,-7.357693,                    -36.921745
NB.NBMA,-7.365445,                    -38.764044
NB.NBMO,-3.310711,                    -40.04137
NB.NBPA,-5.750311,                    -37.112138
NB.NBPB,-5.545966,                    -39.583675
NB.NBPN,-10.84685,                    -40.1988
NB.NBPS,-4.393997,                    -41.445708
NB.NBPV,-6.417527,                    -35.290516
NB.NBRF,-8.679466,                    -35.127172
NB.NBTA,-9.121932,                    -38.063215
