EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType|Hora|geometry
usp2023riex|2023-09-04 09:40:23.759161|-9.901815|-39.779179|0.0|JROBERTO||USP|usp2023riex|mR|2.280325728|jroberto|Uaua/BA|earthquake|9|POINT (-39.779179 -9.901815)
usp2023reqw|2023-09-02 11:11:02.034937|-8.219369|-74.219284|150.7294922|JROBERTO||USP|usp2023reqw|mB|5.33237875|jroberto|Peru-Brazil Border Region|earthquake|11|POINT (-74.219284 -8.219369)
usp2023rbds|2023-08-31 13:07:24.482356|-9.914958|-39.774605|0.0|JROBERTO||USP|usp2023rbds|mR|2.536302079|jroberto|Uaua/BA|earthquake|13|POINT (-39.774605 -9.914958)
usp2023qxts|2023-08-29 16:39:14.918234|-19.405613|-44.156269|0.0|JROBERTO||USP|usp2023qxts|mR|2.347784302|jroberto|Prudente de Morais/MG|earthquake|16|POINT (-44.156269 -19.405613)
usp2023qvtk|2023-08-28 14:14:08.850257|-5.078501|-38.225033|0.0|JROBERTO||USP|usp2023qvtk|mR|2.098017777|jroberto|Limoeiro do Norte/CE|earthquake|14|POINT (-38.225033 -5.078501)
usp2023qlqo|2023-08-23 01:25:31.526755|-7.468785|-49.693981|0.0|JROBERTO||USP|usp2023qlqo|mR|2.53973265|jroberto|Floresta do Araguaia/PA|earthquake|1|POINT (-49.693981 -7.468785)
usp2023qlil|2023-08-22 21:19:39.340000|-24.324833|-50.674167|0.0|MASSUMPCAO||USP|usp2023qlil|MLv|2.374164822|marcelo|Telemaco Borba/PR|earthquake|21|POINT (-50.674167 -24.324833)
usp2023punq|2023-08-13 16:38:57.810535|-4.410106|-38.408394|0.0|JROBERTO||USP|usp2023punq|mR|2.4737485|jroberto|Chorozinho/CE|earthquake|16|POINT (-38.408394 -4.410106)
usp2023pify|2023-08-06 23:07:11.351010|-19.957495|-48.737061|0.0|JROBERTO||USP|usp2023pify|mR|2.639759349|jroberto|Frutal/MG|earthquake|23|POINT (-48.737061 -19.957495)
usp2023phyo|2023-08-06 19:24:08.730000|-19.984667|-48.818333|0.0|MASSUMPCAO||USP|usp2023phyo|mR|2.62080723|marcelo|Frutal/MG|earthquake|19|POINT (-48.818333 -19.984667)
usp2023pbjn|2023-08-03 04:58:37.729999|-21.234833|-57.178333|0.0|BRUNO||USP|usp2023pbjn|mR|2.912055349|bruno|Bonito/MS|earthquake|4|POINT (-57.178333 -21.234833)
usp2023ohii|2023-07-23 05:39:06.909792|-6.440606|-50.331184|0.0|JROBERTO||USP|usp2023ohii|mR|2.890759567|jroberto|Agua Azul do Norte/PA|earthquake|5|POINT (-50.331184 -6.440606)
usp2023oasz|2023-07-19 15:05:17.995361|-8.610698|-36.311901|0.0|JROBERTO||USP|usp2023oasz|mR|2.407481591|jroberto|Lajedo/PE|earthquake|15|POINT (-36.311901 -8.610698)
usp2023oajh|2023-07-19 10:12:29.645993|-8.008146|-74.312447|156.0|JROBERTO||USP|usp2023oajh|mb|4.806680808|jroberto|Peru-Brazil Border Region|earthquake|10|POINT (-74.312447 -8.008146)
usp2023nvdw|2023-07-16 13:45:58.816965|-9.472932|-35.710598|0.0|JROBERTO||USP|usp2023nvdw|mR|1.841217191|jroberto|Rio Largo/AL|earthquake|13|POINT (-35.710598 -9.472932)
usp2023nuow|2023-07-16 06:12:13.001824|-14.541713|-45.597126|0.0|JROBERTO||USP|usp2023nuow|mR|2.315498563|jroberto|Mambai/GO|earthquake|6|POINT (-45.597126 -14.541713)
usp2023nfdn|2023-07-07 19:25:35.923739|-4.48274|-49.89896|0.0|JROBERTO||USP|usp2023nfdn|mR|2.695059444|jroberto|Novo Repartimento/PA|earthquake|19|POINT (-49.89896 -4.48274)
usp2023mqeu|2023-06-29 15:01:07.736707|-16.386299|-44.842232|0.0|JROBERTO||USP|usp2023mqeu|mR|2.090933151|jroberto|Ubai/MG|earthquake|15|POINT (-44.842232 -16.386299)
