evid;origin;longitude;latitude;depth;magnitude;magnitudet;region;author;mode
"usp2024iswi";2024-05-04T04:00:31.311Z;-76.569;-4.596;111.9;4.9;"mb";"Northern Peru";"jroberto";M
"usp2024istt";2024-05-04T02:43:17.674Z;-66.710;-21.574;244.0;4.4;"mb";"Southern Bolivia";"jroberto";M
"usp2024isor";2024-05-04T00:09:17.344Z;-62.063;10.039;34.9;4.3;"mb";"Near Coast of Venezuela";"jroberto";M
"usp2024isgk";2024-05-03T19:58:34.096Z;-46.842;-11.679;0.0;2.7;"mR";"Dianopolis/TO";"jroberto";M
"usp2024irzo";2024-05-03T16:30:44.000Z;-44.087;-19.591;0.0;2.5;"MLv";"Matozinhos/MG";"marcelo";M
"usp2024irqu";2024-05-03T12:04:35.659Z;-72.891;9.638;10.0;4.7;"mb";"Venezuela";"jroberto";M
"usp2024irep";2024-05-03T05:55:00.652Z;-69.277;-17.653;142.0;4.5;"mb";"Peru-Bolivia Border Region";"cleusa";M
"usp2024irax";2024-05-03T04:03:42.679Z;-50.482;-5.806;0.0;3.3;"mR";"Parauapebas/PA";"marcelo";M
"usp2024ipmj";2024-05-02T07:34:55.533Z;-72.797;11.499;36.0;4.4;"mb";"Near North Coast of Colombia";"jroberto";M
"usp2024ipbw";2024-05-02T02:16:10.762Z;-72.451;-13.717;10.0;5.1;"mb";"Central Peru";"cleusa";M
"usp2024iokq";2024-05-01T17:33:33.837Z;-61.423;9.985;10.0;4.2;"mb";"Near Coast of Venezuela";"jroberto";M
"usp2024inou";2024-05-01T06:31:59.533Z;-43.925;-19.527;0.0;1.6;"mR";"Lagoa Santa/MG";"jroberto";M
"usp2024inlz";2024-05-01T05:06:52.541Z;-66.315;-22.955;246.0;4.5;"mb";"Jujuy Province, Argentina";"cleusa";M
"usp2024inlh";2024-05-01T04:45:09.432Z;-40.915;-2.773;0.0;2.0;"mR";"Camocim/CE";"jroberto";M
"usp2024inhw";2024-05-01T03:01:10.148Z;-40.877;-2.832;0.0;2.4;"mR";"Camocim/CE";"jroberto";M
"usp2024iner";2024-05-01T01:24:49.098Z;-68.771;-21.453;102.0;5.0;"mb";"Chile-Bolivia Border Region";"cleusa";M
"usp2024impu";2024-04-30T17:51:18.105Z;-58.568;12.752;10.0;5.2;"mb";"North Atlantic Ocean";"jroberto";M
"usp2024imam";2024-04-30T10:09:23.900Z;-71.363;-13.557;93.0;4.8;"mb";"Central Peru";"cleusa";M
"usp2024ilkq";2024-04-30T02:09:44.715Z;-65.813;-25.020;10.0;4.7;"mb";"Salta Province, Argentina";"cleusa";M
"usp2024ijjt";2024-04-28T23:26:42.601Z;-68.609;-20.888;122.0;4.1;"mb";"Chile-Bolivia Border Region";"cleusa";M
"usp2024ijdq";2024-04-28T20:20:18.264Z;-68.304;-21.887;111.0;4.8;"mb";"Chile-Bolivia Border Region";"cleusa";M
"usp2024ijca";2024-04-28T19:31:31.709Z;-68.463;-20.551;120.0;5.0;"mb";"Chile-Bolivia Border Region";"cleusa";M
"usp2024iidp";2024-04-28T07:11:13.002Z;-67.203;-24.472;170.0;4.0;"mb";"Chile-Argentina Border Region";"cleusa";M
"usp2024igxf";2024-04-27T14:49:44.442Z;-68.135;-22.309;148.0;4.5;"mb";"Northern Chile";"cleusa";M
"usp2024ifft";2024-04-26T16:51:48.707Z;-40.618;-13.473;0.0;2.3;"mR";"Maracas/BA";"jroberto";M
"usp2024iein";2024-04-26T05:07:36.155Z;-71.646;-14.910;132.0;4.4;"mb";"Central Peru";"cleusa";M
"usp2024idye";2024-04-25T23:54:11.405Z;-63.645;-31.026;10.0;4.5;"mb";"Cordoba Province, Argentina";"jroberto";M
"usp2024icsd";2024-04-25T07:43:08.947Z;-71.921;-11.921;10.0;4.2;"mb";"Central Peru";"jroberto";M
"usp2024ickp";2024-04-25T03:54:16.219Z;-61.413;11.392;10.0;3.8;"mb";"Windward Islands";"jroberto";M
"usp2024iblk";2024-04-24T15:10:37.002Z;-72.059;-39.384;77.0;4.5;"mb";"Central Chile";"cleusa";M
