EventID;Time;Longitude;Latitude;depth;magnitude;magnitudet;region;author;mode
"usp2023pdgc";2023-08-04T05:31:40.282Z;-36.608;-9.695;0.0;2.0;"MLv";"Coite do Noia/AL";"jroberto";M
"usp2023pbjn";2023-08-03T04:58:37.729Z;-57.178;-21.235;0.0;2.9;"mR";"Bonito/MS";"bruno";M
"usp2023palm";2023-08-02T16:49:57.808Z;-40.757;-13.692;0.0;2.5;"mR";"Contendas do Sincora/BA";"jroberto";M
"usp2023oxvx";2023-08-01T06:41:27.000Z;-48.690;-21.080;0.0;1.1;"MLv";"Frutal/MG";"marcelo";M
"usp2023ovms";2023-07-30T23:46:59.256Z;-45.223;-19.334;0.0;3.2;"mR";"Martinho Campos/MG";"bruno";M
"usp2023orgr";2023-07-28T16:10:57.079Z;-40.576;-4.151;0.0;2.1;"mR";"Reriutaba/CE";"jroberto";M
"usp2023oqza";2023-07-28T12:19:05.841Z;-36.132;-8.375;0.0;2.1;"mR";"Sao Caitano/PE";"jroberto";M
"usp2023oogs";2023-07-27T00:47:14.117Z;-38.462;-4.433;0.0;2.6;"mR";"Chorozinho/CE";"jroberto";M
"usp2023ohii";2023-07-23T05:39:06.909Z;-50.331;-6.441;0.0;2.9;"mR";"Agua Azul do Norte/PA";"jroberto";M
"usp2023oejt";2023-07-21T14:58:22.067Z;-36.716;-9.851;0.0;1.8;"mR";"Lagoa da Canoa/AL";"jroberto";M
"usp2023ocwp";2023-07-20T19:11:00.000Z;-50.010;-4.000;0.0;3.4;"mR";"Novo Repartimento/PA";"marcelo";M
"usp2023oasz";2023-07-19T15:05:17.995Z;-36.312;-8.611;0.0;2.4;"mR";"Lajedo/PE";"jroberto";M
"usp2023nzmp";2023-07-18T22:44:11.083Z;-39.840;-9.909;0.0;2.3;"mR";"Uaua/BA";"jroberto";M
"usp2023nvdw";2023-07-16T13:45:58.816Z;-35.711;-9.473;0.0;1.8;"mR";"Rio Largo/AL";"jroberto";M
"usp2023nuow";2023-07-16T06:12:13.001Z;-45.597;-14.542;0.0;2.3;"mR";"Mambai/GO";"jroberto";M
"usp2023ntxp";2023-07-15T21:28:30.548Z;-56.304;-20.462;0.0;1.8;"mR";"Miranda/MS";"jroberto";M
"usp2023nnxp";2023-07-12T14:39:46.093Z;-38.922;-6.255;0.0;2.0;"mR";"Oros/CE";"jroberto";M
"usp2023nfdn";2023-07-07T19:25:35.923Z;-49.899;-4.483;0.0;2.7;"mR";"Novo Repartimento/PA";"jroberto";M
"usp2023ndyi";2023-07-07T03:40:14.561Z;-73.975;-8.297;181.0;4.5;"mB";"Peru-Brazil Border Region";"cleusa";M
"usp2023mzhc";2023-07-04T14:24:56.019Z;-38.370;-4.770;0.0;2.1;"mR";"Ibicuitinga/CE";"jroberto";M
"usp2023mxru";2023-07-03T17:32:42.387Z;-51.069;-23.266;0.0;2.6;"MLv";"Ibipora/PR";"jroberto";M
"usp2023mqeu";2023-06-29T15:01:07.736Z;-44.842;-16.386;0.0;2.1;"mR";"Ubai/MG";"jroberto";M
"usp2023mmqr";2023-06-27T16:29:15.869Z;-40.631;-4.169;0.0;1.7;"mR";"Reriutaba/CE";"jroberto";M
"usp2023mfjt";2023-06-23T17:01:45.084Z;-50.089;-6.427;0.0;3.3;"mR";"Canaa dos Carajas/PA";"jroberto";M
"usp2023ment";2023-06-23T05:55:11.397Z;-39.523;-10.076;0.0;2.2;"mR";"Uaua/BA";"jroberto";M
"usp2023mekt";2023-06-23T04:25:03.985Z;-50.091;-6.651;0.0;3.0;"mR";"Canaa dos Carajas/PA";"jroberto";M
"usp2023meku";2023-06-23T04:24:57.686Z;-50.012;-6.629;0.0;2.5;"MLv";"Canaa dos Carajas/PA";"jroberto";M
"usp2023mekv";2023-06-23T04:24:33.107Z;-50.038;-6.641;0.0;2.3;"MLv";"Canaa dos Carajas/PA";"jroberto";M
"usp2023lxfv";2023-06-19T05:57:50.084Z;-48.527;-20.867;0.0;2.5;"mR";"Reg. de Bebedouro/SP";"jroberto";M
"usp2023lxax";2023-06-19T03:29:11.888Z;-48.610;-20.990;0.0;2.5;"mR";"Monte Azul Paulista/SP";"jroberto";M
"usp2023lwon";2023-06-18T21:13:45.909Z;-48.617;-21.046;0.0;2.1;"mR";"Pirangi/SP";"marcelo";M
"usp2023lstw";2023-06-16T19:23:18.005Z;-35.800;-9.423;0.0;2.1;"mR";"Messias/AL";"jroberto";M
"usp2023lsea";2023-06-16T11:22:05.568Z;-47.399;-24.498;0.0;4.0;"mR";"Região Miracatu Iguape/SP";"bruno";M
"usp2023lqzp";2023-06-15T20:00:08.035Z;-42.998;-15.889;0.0;2.5;"mR";"Porteirinha/MG";"jroberto";M
"usp2023loxs";2023-06-14T16:46:41.523Z;-40.679;-13.627;0.0;2.1;"mR";"Maracas/BA";"jroberto";M
"usp2023lgee";2023-06-09T21:49:17.611Z;-59.354;-21.098;0.0;2.8;"mR";"Paraguay";"jroberto";M
"usp2023lfxn";2023-06-09T18:26:54.076Z;-40.221;-4.281;0.0;1.5;"mR";"Santa Quiteria/CE";"jroberto";M
"usp2023lfib";2023-06-09T10:39:14.000Z;-44.184;-19.519;0.0;2.3;"mR";"Prudente de Morais/MG";"marcelo";M
"usp2023kwto";2023-06-04T18:13:24.541Z;-60.048;-16.444;0.0;3.6;"mb";"Central Bolivia";"jroberto";M
"usp2023kuhk";2023-06-03T09:49:07.146Z;-40.232;-8.769;0.0;2.3;"mR";"Lagoa Grande/PE";"jroberto";M
"usp2023krlr";2023-06-01T20:34:35.872Z;-44.715;-21.059;0.0;2.2;"mR";"Bom Sucesso/MG";"bruno";M
"usp2023knwj";2023-05-30T21:25:24.051Z;-51.384;-14.198;0.0;2.5;"mR";"Cocalinho/MT";"jroberto";M
"usp2023kmuo";2023-05-30T07:22:27.654Z;-61.544;-12.465;0.0;2.5;"mR";"Parecis/RO";"jroberto";M
"usp2023klog";2023-05-29T15:02:25.082Z;-40.082;-7.879;0.0;2.1;"mR";"Ouricuri/PE";"jroberto";M
"usp2023kikt";2023-05-27T21:52:54.829Z;-44.296;-10.546;0.0;2.4;"mR";"Julio Borges/PI";"jroberto";M
"usp2023khts";2023-05-27T13:15:41.153Z;-48.625;-21.093;0.0;2.2;"mR";"Pirangi/SP";"bruno";M
"usp2023khdp";2023-05-27T05:07:37.534Z;-40.575;-11.277;0.0;2.3;"mR";"Jacobina/BA";"jroberto";M
"usp2023khcn";2023-05-27T04:34:35.208Z;-48.616;-21.058;0.0;2.3;"mR";"Pirangi/SP";"bruno";M
"usp2023khah";2023-05-27T03:27:50.000Z;-60.397;-0.384;0.0;4.1;"mR";"Rorainopolis/RR";"marcelo";M
"usp2023kgaq";2023-05-26T14:29:34.406Z;-36.117;-8.347;0.0;2.1;"mR";"Sao Caitano/PE";"jroberto";M
"usp2023kdrt";2023-05-25T07:43:48.994Z;-40.846;-2.975;0.0;1.9;"mR";"Camocim/CE";"jroberto";M
"usp2023kdmb";2023-05-25T04:51:26.492Z;-45.003;-13.274;0.0;3.2;"mR";"Correntina/BA";"jroberto";M
"usp2023kcsc";2023-05-24T18:45:58.548Z;-39.941;-7.778;0.0;2.2;"mR";"Bodoco/PE";"jroberto";M
"usp2023kapb";2023-05-23T14:57:58.837Z;-40.636;-4.109;0.0;2.3;"MLv";"Reriutaba/CE";"jroberto";M
"usp2023jzyn";2023-05-23T06:36:54.183Z;-45.009;-13.268;0.0;2.7;"mR";"Correntina/BA";"jroberto";M
"usp2023jzje";2023-05-22T22:51:10.202Z;-43.455;-11.748;0.0;2.1;"mR";"Morpara/BA";"jroberto";M
"usp2023jrpy";2023-05-18T17:10:59.642Z;-40.427;-13.447;0.0;2.0;"mR";"Maracas/BA";"jroberto";M
"usp2023jmrf";2023-05-16T00:08:56.178Z;-42.967;-20.193;0.0;2.1;"mR";"Dom Silverio/MG";"jroberto";M
"usp2023jmre";2023-05-16T00:07:25.586Z;-44.279;-13.505;0.0;2.8;"mR";"Rg. de Jaborandi/BA";"jroberto";M
"usp2023jhvi";2023-05-13T08:33:10.924Z;-57.753;-11.451;0.0;2.7;"mR";"Juara/MT";"jroberto";M
"usp2023jcpm";2023-05-10T11:55:13.841Z;-48.610;-20.966;0.0;2.3;"mR";"MonteA.Paulista rg.da zona rural/SP";"jroberto";M
