EventID,Time,Longitude,Latitude,depth,magnitude,magnitudet,region,author,mode
usp2021tanb,2021-09-28 15:46:43.936000+00:00,-36.106,-7.897,0.0,2.1,"mR""",Taquaritinga do Norte/PE,jroberto,M
usp2021taxn,2021-09-28 21:03:18.097000+00:00,-59.275,-15.249,0.0,2.7,"mR""",Pontes e Lacerda/MT,cleusa,M
usp2021tcrn,2021-09-29 20:18:12.704000+00:00,-56.673,-11.687,0.0,2.2,"MLv""",Novo Horizonte do Norte/MT,jroberto,M
usp2021tfna,2021-10-01 09:26:37.893000+00:00,-40.612,-11.134,0.0,2.5,"mR""",Jacobina/BA,jroberto,M
usp2021uafp,2021-10-12 17:32:16.490000+00:00,-35.737,-5.427,0.0,2.4,"mR""",Joao Camara/RN,jroberto,M
usp2021upqu,2021-10-21 04:14:24.770000+00:00,-57.814,-13.01,0.0,2.2,"mR""",Campo Novo do Parecis/MT,jroberto,M
usp2021uqmf,2021-10-21 15:03:11.919000+00:00,-47.258,-20.016,0.0,3.1,"mR""",Sacramento/MG,cleusa,M
usp2021uqtb,2021-10-21 18:30:58.167000+00:00,-35.079,-8.393,0.0,2.2,"mR""",Ipojuca/PE,jroberto,M
usp2021viug,2021-10-31 15:36:36.111000+00:00,-50.07,-6.413,0.0,2.3,"MLv""",Canaa dos Carajas/PA,jroberto,M
usp2021vpcf,2021-11-04 02:24:12.620000+00:00,-61.373,1.807,0.0,3.8,"mR""",Caracarai/RR,jroberto,M
usp2021vqbm,2021-11-04 15:10:09.716000+00:00,-37.359,-6.999,0.0,1.6,"mR""",Patos/PB,cleusa,M
usp2021vqoe,2021-11-04 21:35:51.092000+00:00,-39.829,-9.964,0.0,2.0,"mR""",Uaua/BA,cleusa,M
usp2021vrfd,2021-11-05 06:09:38.368000+00:00,-35.544,-5.04,0.0,2.3,"mR""",Plataforma Continental/RN,jroberto,M
usp2021vyjt,2021-11-09 04:26:15.551000+00:00,-59.455,2.61,0.0,3.7,"mR""",Guyana,jroberto,M
usp2021wfwp,2021-11-13 06:53:14.642000+00:00,-37.303,-12.654,0.0,2.1,"mR""",Plataforma Continental/BA,jroberto,M
usp2021xbvt,2021-11-25 07:27:27.883000+00:00,-60.621,-15.08,0.0,3.1,"mR""",Central Bolivia,jroberto,M
usp2021xcla,2021-11-25 15:09:34.031000+00:00,-40.529,-3.805,0.0,2.5,"mR""",Carire/CE,jroberto,M
usp2021xejh,2021-11-26 16:33:43.527000+00:00,-56.783,-11.577,0.0,1.9,"MLv""",Novo Horizonte do Norte/MT,jroberto,M
usp2021xvdy,2021-12-05 21:09:50.775000+00:00,-40.428,-11.227,0.0,2.3,"mR""",Jacobina/BA,jroberto,M
usp2021xyir,2021-12-07 14:57:59.062000+00:00,-40.516,-3.799,0.0,1.6,"mR""",Carire/CE,marcelo,M
usp2021xyjj,2021-12-07 15:19:14.598000+00:00,-40.911,-3.676,0.0,2.7,"mR""",Tiangua/CE,jroberto,M
usp2021yalz,2021-12-08 18:54:21.471000+00:00,-49.364,-26.703,0.0,2.3,"mR""",Benedito Novo/SC,bruno,M
usp2021ybaf,2021-12-09 02:06:20+00:00,-40.483,-11.222,0.0,1.3,"MLv""",Jacobina/BA,jroberto,M
usp2021ycwc,2021-12-10 02:17:13.003000+00:00,-39.093,-17.134,0.0,3.1,"mR""",Plataforma Continental/BA,jroberto,M
usp2021ydxv,2021-12-10 16:18:56.443000+00:00,-49.125,-20.346,0.0,2.7,"mR""",Icem/SP,jroberto,M
usp2021yecj,2021-12-10 18:36:09.750000+00:00,-40.581,-3.821,0.0,2.5,"mR""",Carire/CE,jroberto,M
usp2021yzbb,2021-12-22 05:48:11.796000+00:00,-40.215,-5.927,0.0,1.7,"mR""",Taua/CE,jroberto,M
usp2021zbwz,2021-12-23 19:08:11.433000+00:00,-50.205,-27.599,0.0,1.9,"mR""",Palmeira/SC,bruno,M
usp2021zdmr,2021-12-24 16:12:03.204000+00:00,-56.79,-11.59,0.0,2.0,"MLv""",Novo Horizonte do Norte/MT,jroberto,M
usp2021znwb,2021-12-30 08:17:55.761000+00:00,-42.334,-23.869,0.0,2.8,"mR""",Saquarema/RJ,jroberto,M
usp2022ahsg,2022-01-05 05:10:05.778000+00:00,-58.606,-14.134,0.0,2.3,"mR""",Campos de Julio/MT,jroberto,M
usp2022asfm,2022-01-10 23:13:36.609000+00:00,-44.827,-20.125,0.0,3.0,"mR""",Divinopolis/MG,marcelo,M
usp2022aukc,2022-01-12 03:48:49.498000+00:00,-45.683,-18.756,0.0,2.8,"mR""",Biquinhas/MG,jroberto,M
usp2022axin,2022-01-13 18:25:53.609000+00:00,-44.829,-20.134,0.0,2.8,"mR""",Divinopolis/MG,marcelo,M
usp2022axis,2022-01-13 18:32:07.841000+00:00,-44.831,-20.132,0.0,2.9,"mR""",Divinopolis/MG,bruno,M
usp2022axqp,2022-01-13 22:30:33.710000+00:00,-44.858,-20.13,0.0,1.8,"mR""",Divinopolis/MG,bruno,M
usp2022axzg,2022-01-14 02:52:38.853000+00:00,-44.835,-20.127,0.0,2.0,"mR""",Divinopolis/MG,jroberto,M
usp2022axzq,2022-01-14 03:04:57.946000+00:00,-44.833,-20.124,0.0,1.6,"mR""",Divinopolis/MG,jroberto,M
usp2022ayqm,2022-01-14 11:35:23.851000+00:00,-44.686,-19.073,0.0,2.8,"mR""",Curvelo/MG,bruno,M
usp2022azjg,2022-01-14 21:04:19+00:00,-44.835,-20.153,0.0,2.2,"mR""",Divinopolis/MG,mbianchi,M
usp2022aztg,2022-01-15 02:07:50.012000+00:00,-44.839,-20.122,0.0,1.9,"MLv""",Divinopolis/MG,bruno,M
usp2022babz,2022-01-15 06:32:06.921000+00:00,-48.676,-21.089,0.0,2.0,"mR""",Pirangi/SP,jroberto,M
usp2022baee,2022-01-15 07:39:00.941000+00:00,-44.831,-20.129,0.0,1.6,"mR""",Divinopolis/MG,jroberto,M
usp2022baek,2022-01-15 07:45:57+00:00,-44.815,-20.116,0.0,2.4,"mR""",Divinopolis/MG,marcelo,M
usp2022bahz,2022-01-15 09:34:22.845000+00:00,-44.839,-20.128,0.0,1.8,"mR""",Divinopolis/MG,jroberto,M
usp2022bamc,2022-01-15 11:38:36.728000+00:00,-44.843,-20.133,0.0,2.1,"mR""",Divinopolis/MG,jroberto,M
usp2022bapn,2022-01-15 13:23:06.669000+00:00,-44.825,-20.131,0.0,2.4,"mR""",Divinopolis/MG,marcelo,M
