ID,Hora de Origem (UTC),Longitude,Latitude,MLv,Distance,Folder,Cat,Certainty
usp2015nrvg,2015-07-14T18:00:30.252581Z,-43.94127655,-16.67764282,1.404850518,183.54166455646427,20150714T180030,earthquake,suspected
usp2016eleo,2016-03-04T00:56:30.841630Z,-36.11803055,-8.357515335,1.363168627,146.03535163907665,20160304T005630,earthquake,suspected
usp2016fadw,2016-03-12T05:37:35.000000Z,-48.5735,-21.3747,1.427109895,34.48359121821873,20160312T053735,earthquake,suspected
usp2016rzlp,2016-09-12T20:22:34.713384Z,-36.37662888,-9.675539017,1.415996235,212.48324474132212,20160912T202234,earthquake,suspected
usp2016sdon,2016-09-15T02:22:40.284726Z,-36.26029587,-9.426802635,1.421653834,240.9292710369201,20160915T022240,earthquake,suspected
usp2018boet,2018-01-22T23:50:38.000000Z,-51.19,-23.35,1.385460262,193.11182828506318,20180122T235038,earthquake,known
usp2018puqz,2018-08-13T18:19:54.938191Z,-37.19077301,-8.237530708,1.391149649,311.7136128064745,20180813T181954,earthquake,known
usp2018sygc,2018-09-27T09:59:09.881487Z,-38.86182785,-12.25453472,1.431058878,182.14000534654443,20180927T095909,earthquake,known
usp2019cbkx,2019-01-30T05:42:47.450482Z,-35.89757538,-9.609354019,1.44397135,273.37100577435757,20190130T054247,earthquake,known
usp2019cblg,2019-01-30T05:53:22.856164Z,-35.840168,-9.59811306,1.41676068,274.9179250523311,20190130T055322,earthquake,known
usp2019igpe,2019-04-28T10:45:40.000000Z,-56.7285,-11.6062,1.371250773,0.6849741039782181,20190428T104540,earthquake,suspected
usp2019nssq,2019-07-15T05:49:58.195511Z,-39.44659424,-5.085949421,1.427194558,159.74408112590774,20190715T054958,earthquake,known
usp2020dypd,2020-02-26T03:31:15.689193Z,-48.67271423,-21.08568382,1.373587392,15.202593632401232,20200226T033115,earthquake,suspected
usp2020ilss,2020-04-30T06:14:02.766742Z,-35.1059494,-4.714818001,1.400514739,250.14807351062205,20200430T061402,earthquake,known
usp2020mrlp,2020-06-29T07:36:22.004056Z,-40.19933701,-3.409311533,1.405409383,176.1176392331449,20200629T073622,earthquake,known
usp2021gpjp,2021-04-04T19:06:05.661145Z,-40.53028488,-11.19418812,1.424244867,52.80508048072168,20210404T190605,earthquake,known
usp2021grax,2021-04-05T16:59:24.546291Z,-35.91477203,-7.283219337,1.373753611,215.11774161983462,20210405T165924,earthquake,known
usp2021jgdy,2021-05-12T10:37:42.958007Z,-40.85467148,-19.22853851,1.360065536,67.77245465726749,20210512T103742,earthquake,known
usp2021ncfb,2021-07-06T04:47:00.185839Z,-40.50141907,-3.63795948,1.407883769,234.27907192942578,20210706T044700,earthquake,suspected
usp2021nqkc,2021-07-13T23:14:30.547702Z,-40.78734207,-19.17923546,1.42475451,159.28290242690935,20210713T231430,earthquake,known
usp2022buaa,2022-01-26T04:16:22.263444Z,-37.0424118,-10.13643074,1.413677656,354.35042020915944,20220126T041622,earthquake,known
usp2022gvat,2022-04-07T21:26:25.855971Z,-48.62308884,-20.93955994,1.416977432,17.162102353145528,20220407T212625,earthquake,known
usp2023fhlt,2023-03-17T05:34:07.160004Z,-40.53158569,-3.564638615,1.421079133,259.3228194108074,20230317T053407,earthquake,suspected
usp2023xfhn,2023-11-27T04:48:16.460386Z,-35.73477173,-9.651062965,1.447616419,285.3289072912268,20231127T044816,earthquake,known
usp2024dxus,2024-02-25T17:12:10.595783Z,-48.64664841,-21.03433418,1.35116125,12.836548932763492,20240225T171210,earthquake,suspected
usp2013emgj,2013-03-05T14:59:33.173204Z,-43.88607407,-16.65813446,1.506729706,182.8168728574684,20130305T145933,earthquake,known
usp2013gltn,2013-04-02T19:34:19.283403Z,-43.91891861,-16.64261627,1.50856413,180.30250073809702,20130402T193419,earthquake,known
usp2013vmjh,2013-11-02T14:34:06.612577Z,-36.14194489,-5.481351852,1.529469948,275.9395482167624,20131102T143406,earthquake,known
usp2014jlza,2014-05-15T14:57:42.000000Z,-43.8564,-16.6898,1.468061325,9.301592295413387,20140515T145742,earthquake,suspected
usp2014joeo,2014-05-16T20:01:22.989823Z,-43.99555969,-16.7329464,1.46459146,188.39185176990182,20140516T200122,earthquake,suspected
usp2014kytg,2014-06-05T20:20:27.910472Z,-43.87691879,-16.65131378,1.508831748,182.33382330900673,20140605T202027,earthquake,suspected
usp2014mfft,2014-06-23T15:01:04.000000Z,-43.8047,-16.6891,1.480353082,14.748818640310569,20140623T150104,earthquake,suspected
usp2014pibe,2014-08-06T20:42:55.000000Z,-48.2996,-12.1073,1.492333411,0.21119115990800158,20140806T204255,earthquake,suspected
usp2014qlft,2014-08-22T19:59:01.786331Z,-43.89651871,-16.79709816,1.451637298,197.48986858736492,20140822T195901,earthquake,suspected
usp2014qqoi,2014-08-25T17:59:37.900899Z,-43.84276962,-16.77531242,1.472146841,196.5313254228221,20140825T175937,earthquake,suspected
usp2014tgin,2014-10-01T20:18:25.981924Z,-43.83709335,-16.74520683,1.541671099,193.47143028737167,20141001T201825,earthquake,suspected
usp2014zmtb,2014-12-29T17:39:38.535512Z,-36.12883377,-5.496051788,1.45321086,112.50766772580273,20141229T173938,earthquake,known
usp2015coqr,2015-02-06T11:24:06.165436Z,-35.95956039,-8.28735733,1.462369934,308.11872955972126,20150206T112406,earthquake,known
usp2015fctj,2015-03-14T15:44:17.134044Z,-36.83924103,-7.296833038,1.511414641,173.67064887440162,20150314T154417,earthquake,suspected
usp2015ouvi,2015-07-30T14:59:25.291965Z,-43.8571167,-16.67941856,1.474458474,185.8855663370273,20150730T145925,earthquake,suspected
usp2015unpa,2015-10-20T01:04:03.369627Z,-40.19436264,-3.820427418,1.466108498,216.03340201767176,20151020T010403,earthquake,suspected
usp2016dugt,2016-02-23T18:44:01.418641Z,-36.15365219,-8.311470985,1.46990234,230.1140338783086,20160223T184401,earthquake,suspected
usp2016geze,2016-03-29T02:28:26.038850Z,-35.98896408,-8.517420769,1.546741189,244.69499517377625,20160329T022826,earthquake,suspected
usp2016gezf,2016-03-29T02:30:14.994582Z,-36.11019135,-8.247680664,1.467108554,221.71285230434725,20160329T023014,earthquake,known
usp2016ihvk,2016-04-28T03:02:51.759270Z,-35.98517609,-9.59079361,1.545880447,151.02263635623456,20160428T030251,earthquake,suspected
