evid,origin,longitude,latitude,depth,magnitude,magnitudet,region,author,mode,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
usp2023pwii,2023-08-14 16:14:01.069000+00:00,-39874,-9882,0.0,2.3,mR,Uaua/BA,jroberto,M,,,,,
usp2023punq,2023-08-13 16:38:57.810000+00:00,-38408,-4410,0.0,2.5,mR,Chorozinho/CE,jroberto,M,,,,,
usp2023pkki,2023-08-08 03:36:23.801000+00:00,-39883,-9868,0.0,2.3,mR,Uaua/BA,jroberto,M,,,,,
usp2023pify,2023-08-06 23:07:11.035000+00:00,-48737,-19957,0.0,2.6,mR,Pirajuba/MG,jroberto,M,,,,,
usp2023phyo,2023-08-06 19:24:08+00:00,-48818,-19985,0.0,2.6,mR,Frutal/MG,marcelo,M,,,,,
usp2023peyi,2023-08-05 03:52:38.835000+00:00,-40532,-11239,0.0,2.4,mR,Jacobina/BA,jroberto,M,,,,,
usp2023pdgc,2023-08-04 05:31:40.282000+00:00,-36608,-9695,0.0,2.0,MLv,Coite do Noia/AL,jroberto,M,,,,,
usp2023pbjn,2023-08-03 04:58:37.729000+00:00,-57178,-21235,0.0,2.9,mR,Bonito/MS,bruno,M,,,,,
usp2023palm,2023-08-02 16:49:57.808000+00:00,-40757,-13692,0.0,2.5,mR,Contendas do Sincora/BA,jroberto,M,,,,,
usp2023oxvx,2023-08-01 06:41:27+00:00,-48690,-21080,0.0,1.1,MLv,Pirangi/SP,marcelo,M,,,,,
usp2023ovms,2023-07-30 23:46:59.256000+00:00,-45223,-19334,0.0,3.2,mR,Martinho Campos/MG,bruno,M,,,,,
usp2023orgr,2023-07-28 16:10:57.079000+00:00,-40576,-4151,0.0,2.1,mR,Reriutaba/CE,jroberto,M,,,,,
usp2023oqza,2023-07-28 12:19:05.841000+00:00,-36132,-8375,0.0,2.1,mR,Sao Caitano/PE,jroberto,M,,,,,
usp2023oogs,2023-07-27 00:47:14.117000+00:00,-38462,-4433,0.0,2.6,mR,Chorozinho/CE,jroberto,M,,,,,
usp2023ohii,2023-07-23 05:39:06.909000+00:00,-50331,-6441,0.0,2.9,mR,Agua Azul do Norte/PA,jroberto,M,,,,,
usp2023oejt,2023-07-21 14:58:22.067000+00:00,-36716,-9851,0.0,1.8,mR,Lagoa da Canoa/AL,jroberto,M,,,,,
usp2023ocwp,2023-07-20 19:11:00+00:00,-50010,-4000,0.0,3.4,mR,Novo Repartimento/PA,marcelo,M,,,,,
usp2023oasz,2023-07-19 15:05:17.995000+00:00,-36312,-8611,0.0,2.4,mR,Lajedo/PE,jroberto,M,,,,,
usp2023nzmp,2023-07-18 22:44:11.083000+00:00,-39840,-9909,0.0,2.3,mR,Uaua/BA,jroberto,M,,,,,
usp2023nvdw,2023-07-16 13:45:58.816000+00:00,-35711,-9473,0.0,1.8,mR,Rio Largo/AL,jroberto,M,,,,,
usp2023nuow,2023-07-16 06:12:13.001000+00:00,-45597,-14542,0.0,2.3,mR,Mambai/GO,jroberto,M,,,,,
usp2023ntxp,2023-07-15 21:28:30.548000+00:00,-56304,-20462,0.0,1.8,mR,Miranda/MS,jroberto,M,,,,,
usp2023nnxp,2023-07-12 14:39:46.093000+00:00,-38922,-6255,0.0,2.0,mR,Oros/CE,jroberto,M,,,,,
usp2023nfdn,2023-07-07 19:25:35.923000+00:00,-49899,-4483,0.0,2.7,mR,Novo Repartimento/PA,jroberto,M,,,,,
usp2023ndyi,2023-07-07 03:40:14.561000+00:00,-73975,-8297,181.0,4.5,mB,Peru-Brazil Border Region,cleusa,M,,,,,
usp2023mzhc,2023-07-04 14:24:56.019000+00:00,-38370,-4770,0.0,2.1,mR,Ibicuitinga/CE,jroberto,M,,,,,
usp2023mxru,2023-07-03 17:32:42.387000+00:00,-51069,-23266,0.0,2.6,MLv,Ibipora/PR,jroberto,M,,,,,
usp2023mqeu,2023-06-29 15:01:07.736000+00:00,-44842,-16386,0.0,2.1,mR,Ubai/MG,jroberto,M,,,,,
usp2023mmqr,2023-06-27 16:29:15.869000+00:00,-40631,-4169,0.0,1.7,mR,Reriutaba/CE,jroberto,M,,,,,
usp2023mfjt,2023-06-23 17:01:45.084000+00:00,-50089,-6427,0.0,3.3,mR,Canaa dos Carajas/PA,jroberto,M,,,,,
usp2023ment,2023-06-23 05:55:11.397000+00:00,-39523,-10076,0.0,2.2,mR,Uaua/BA,jroberto,M,,,,,
usp2023mekt,2023-06-23 04:25:03.985000+00:00,-50091,-6651,0.0,3.0,mR,Canaa dos Carajas/PA,jroberto,M,,,,,
usp2023meku,2023-06-23 04:24:57.686000+00:00,-50012,-6629,0.0,2.5,MLv,Canaa dos Carajas/PA,jroberto,M,,,,,
usp2023mekv,2023-06-23 04:24:33.107000+00:00,-50038,-6641,0.0,2.3,MLv,Canaa dos Carajas/PA,jroberto,M,,,,,
usp2023lxfv,2023-06-19 05:57:50.084000+00:00,-48527,-20867,0.0,2.5,mR,Reg. de Bebedouro/SP,jroberto,M,,,,,
usp2023lxax,2023-06-19 03:29:11.888000+00:00,-48610,-20990,0.0,2.5,mR,Monte Azul Paulista/SP,jroberto,M,,,,,
usp2023lwon,2023-06-18 21:13:45.909000+00:00,-48617,-21046,0.0,2.1,mR,Pirangi/SP,marcelo,M,,,,,
usp2023lstw,2023-06-16 19:23:18.005000+00:00,-35800,-9423,0.0,2.1,mR,Messias/AL,jroberto,M,,,,,
usp2023lsea,2023-06-16 11:22:05.568000+00:00,-47399,-24498,0.0,4.0,mR,Região Miracatu Iguape/SP,bruno,M,,,,,
usp2023lqzp,2023-06-15 20:00:08.035000+00:00,-42998,-15889,0.0,2.5,mR,Porteirinha/MG,jroberto,M,,,,,
usp2023loxs,2023-06-14 16:46:41.523000+00:00,-40679,-13627,0.0,2.1,mR,Maracas/BA,jroberto,M,,,,,
usp2023lgee,2023-06-09 21:49:17.611000+00:00,-59354,-21098,0.0,2.8,mR,Paraguay,jroberto,M,,,,,
usp2023lfxn,2023-06-09 18:26:54.076000+00:00,-40221,-4281,0.0,1.5,mR,Santa Quiteria/CE,jroberto,M,,,,,
