EventID,Time,Depth/km,Author,Contributor,MagType,Magnitude,MagAuthor,EventLocationName,EventType,sigla,geometry
usp2021yecj,2021-12-10 18:36:09.750664,0.0,jroberto,USP,mR,2.479939664,jroberto,Carire/CE,earthquake,NE,POINT (-40.581249 -3.821206)
usp2021ydxv,2021-12-10 16:18:56.443745,0.0,jroberto,USP,mR,2.661958879,jroberto,Icem/SP,earthquake,SE,POINT (-49.125217 -20.345526)
usp2021ybaf,2021-12-09 02:06:20.000000,0.0,jroberto,USP,MLv,1.304227862,jroberto,Jacobina/BA,earthquake,NE,POINT (-40.4826 -11.2219)
usp2021yalz,2021-12-08 18:54:21.471318,0.0,bruno,USP,mR,2.298834058,bruno,Benedito Novo/SC,earthquake,S,POINT (-49.364105 -26.703011)
usp2021xyjj,2021-12-07 15:19:14.598336,0.0,jroberto,USP,mR,2.678481801,jroberto,Tiangua/CE,earthquake,NE,POINT (-40.911106 -3.675852)
usp2021xyir,2021-12-07 14:57:59.062747,0.0,marcelo,USP,mR,1.563741101,marcelo,Carire/CE,earthquake,NE,POINT (-40.516041 -3.799285)
usp2021xvdy,2021-12-05 21:09:50.775347,0.0,jroberto,USP,mR,2.307314396,jroberto,Jacobina/BA,earthquake,NE,POINT (-40.427921 -11.227432)
usp2021xejh,2021-11-26 16:33:43.527458,0.0,jroberto,USP,MLv,1.89607642,jroberto,Novo Horizonte do Norte/MT,earthquake,CO,POINT (-56.782772 -11.576661)
usp2021xcla,2021-11-25 15:09:34.031603,0.0,jroberto,USP,mR,2.504658121,jroberto,Carire/CE,earthquake,NE,POINT (-40.529198 -3.804863)
usp2021vqoe,2021-11-04 21:35:51.926930,0.0,cleusa,USP,mR,2.022686861,cleusa,Uaua/BA,earthquake,NE,POINT (-39.828541 -9.964073)
usp2021vqbm,2021-11-04 15:10:09.716642,0.0,cleusa,USP,mR,1.561992956,cleusa,Patos/PB,earthquake,NE,POINT (-37.359222 -6.999242)
usp2021vpcf,2021-11-04 02:24:12.620057,0.0,jroberto,USP,mR,3.84304627,jroberto,Caracarai/RR,earthquake,N,POINT (-61.373005 1.807271)
usp2021viug,2021-10-31 15:36:36.111566,0.0,jroberto,USP,MLv,2.335672719,jroberto,Canaa dos Carajas/PA,earthquake,N,POINT (-50.069908 -6.412817)
usp2021uqtb,2021-10-21 18:30:58.167432,0.0,jroberto,USP,mR,2.197964588,jroberto,Ipojuca/PE,earthquake,NE,POINT (-35.079113 -8.393228)
usp2021uqmf,2021-10-21 15:03:11.919355,0.0,cleusa,USP,mR,3.148043493,cleusa,Sacramento/MG,earthquake,SE,POINT (-47.257744 -20.015997)
usp2021upqu,2021-10-21 04:14:24.770589,0.0,jroberto,USP,mR,2.155868169,jroberto,Campo Novo do Parecis/MT,earthquake,CO,POINT (-57.814255 -13.009818)
usp2021uafp,2021-10-12 17:32:16.490501,0.0,jroberto,USP,mR,2.36534766,jroberto,Joao Camara/RN,earthquake,NE,POINT (-35.736683 -5.42681)
usp2021tzfy,2021-10-12 04:34:34.519863,603.0,jroberto,USP,mb,4.293108856,cleusa,Peru-Brazil Border Region,earthquake,N,POINT (-71.313126 -9.598586)
usp2021thpi,2021-10-02 12:52:33.732708,596.0,cleusa,USP,mb,5.64653914,cleusa,Peru-Brazil Border Region,earthquake,N,POINT (-71.198372 -9.568885)
usp2021tfna,2021-10-01 09:26:37.893186,0.0,jroberto,USP,mR,2.45276747,jroberto,Jacobina/BA,earthquake,NE,POINT (-40.611954 -11.134224)
usp2021tcrn,2021-09-29 20:18:12.704552,0.0,jroberto,USP,MLv,2.174524006,jroberto,Novo Horizonte do Norte/MT,earthquake,CO,POINT (-56.672516 -11.687303)
usp2021taxn,2021-09-28 21:03:18.976470,0.0,cleusa,USP,mR,2.672217011,cleusa,Pontes e Lacerda/MT,earthquake,CO,POINT (-59.274979 -15.249154)
usp2021tanb,2021-09-28 15:46:43.936138,0.0,jroberto,USP,mR,2.085469517,jroberto,Taquaritinga do Norte/PE,earthquake,NE,POINT (-36.106159 -7.897329)
usp2021szdq,2021-09-27 21:52:31.489861,10.0,cleusa,USP,mb,4.334720691,cleusa,Peru-Brazil Border Region,earthquake,N,POINT (-72.66716 -6.804574)
usp2021svht,2021-09-25 19:25:34.717671,0.0,jroberto,USP,mR,2.408457592,jroberto,Votorantim/SP,earthquake,SE,POINT (-47.443729 -23.629553)
usp2021srsh,2021-09-23 20:12:18.747228,0.0,marcelo,USP,mR,1.579138025,marcelo,Bom Jardim/PE,earthquake,NE,POINT (-35.63596 -7.793165)
usp2021srpx,2021-09-23 18:59:29.883729,0.0,jroberto,USP,mR,2.543993568,jroberto,Carire/CE,earthquake,NE,POINT (-40.546276 -3.946858)
usp2021srke,2021-09-23 16:06:19.041908,0.0,jroberto,USP,mR,2.558369848,jroberto,Reg. de Sairé/PE,earthquake,NE,POINT (-35.69767 -8.274026)
usp2021sqwe,2021-09-23 09:01:06.446024,0.0,jroberto,USP,mR,3.133834196,jroberto,Reg. de Copiapó/MA,earthquake,NE,POINT (-44.73106 -2.823282)
usp2021sooj,2021-09-22 02:48:09.879874,0.0,jroberto,USP,mR,1.828514377,jroberto,Bezerros/PE,earthquake,NE,POINT (-35.862484 -8.294444)
usp2021smue,2021-09-21 03:27:45.744195,0.0,jroberto,USP,mR,1.823275136,jroberto,Reg. de Moreno/PE,earthquake,NE,POINT (-35.147099 -8.112199)
usp2021skgp,2021-09-19 18:20:11.820000,0.0,marcelo,USP,mR,3.371433908,marcelo,Floresta do Araguaia/PA,earthquake,N,POINT (-49.780333 -7.561667)
usp2021sjyt,2021-09-19 14:22:05.940743,0.0,cleusa,USP,mR,2.822434724,cleusa,Jauru/MT,earthquake,CO,POINT (-58.915207 -15.162952)
usp2021sjms,2021-09-19 08:17:02.646637,0.0,jroberto,USP,mR,2.481845719,jroberto,Reg. de Funilândia/MG,earthquake,SE,POINT (-44.150063 -19.448362)
usp2021siep,2021-09-18 15:03:50.462126,0.0,jroberto,USP,MLv,2.029761089,jroberto,Forquilha/CE,earthquake,NE,POINT (-40.132832 -3.936101)
usp2021sidp,2021-09-18 14:33:09.910487,0.0,jroberto,USP,mR,2.032556603,jroberto,Itapororoca/PB,earthquake,NE,POINT (-35.259308 -6.800964)
usp2021sezy,2021-09-16 21:17:53.988422,0.0,jroberto,USP,mR,2.485321016,jroberto,Nova Maringa/MT,earthquake,CO,POINT (-57.146252 -12.420902)
usp2021scxb,2021-09-15 17:34:27.802539,0.0,jroberto,USP,mR,2.412993951,jroberto,Demerval Lobao/PI,earthquake,NE,POINT (-42.715851 -5.338723)
usp2021scgk,2021-09-15 09:09:58.509999,0.0,marcelo,USP,mR,3.597640772,marcelo,Guaimbê/SP,earthquake,SE,POINT (-49.869333 -21.914667)
usp2021sbzm,2021-09-15 05:39:19.995486,0.0,jroberto,USP,mR,2.883443141,jroberto,Redencao/PA,earthquake,N,POINT (-50.241302 -8.115301)
usp2021rtyl,2021-09-10 20:02:07.265641,0.0,jroberto,USP,mR,2.296682517,jroberto,Santaluz/BA,earthquake,NE,POINT (-39.35527 -11.221649)
usp2021rsfq,2021-09-09 21:23:45.746011,0.0,jroberto,USP,mR,2.433034285,jroberto,Agrestina/PE,earthquake,NE,POINT (-35.903614 -8.500831)
usp2021rqrs,2021-09-09 01:14:23.282452,16.0,jroberto,USP,mb,4.802157642,jroberto,WNW-Ipixuna-AM//SW-AtalaiadoNorte/AM,earthquake,N,POINT (-72.848701 -7.002186)
usp2021rmhc,2021-09-06 15:19:04.329032,0.0,jroberto,USP,mR,2.052231147,jroberto,Areia Branca/SE,earthquake,NE,POINT (-37.390057 -10.831448)
usp2021rlpy,2021-09-06 06:38:26.567428,0.0,jroberto,USP,mR,2.098894777,jroberto,Olho d'Agua Grande/AL,earthquake,NE,POINT (-36.869267 -10.068138)
usp2021reil,2021-09-02 06:54:55.000000,0.0,jroberto,USP,MLv,0.8707208749,jroberto,Arabuta/SC,earthquake,S,POINT (-52.1262 -27.2331)
usp2021rdqw,2021-09-01 22:02:11.855264,0.0,jroberto,USP,mR,2.30070945,jroberto,Canhoba/SE,earthquake,NE,POINT (-37.004871 -10.100717)
usp2021rdoy,2021-09-01 21:03:53.167207,0.0,jroberto,USP,mR,2.904772982,jroberto,Pontes e Lacerda/MT,earthquake,CO,POINT (-59.324547 -15.432372)
usp2021qyjy,2021-08-30 00:52:13.192454,0.0,jroberto,USP,mR,1.825776193,jroberto,Sao Miguel do Aleixo/SE,earthquake,NE,POINT (-37.322006 -10.423483)
usp2021qraz,2021-08-26 00:22:17.017915,0.0,jroberto,USP,mR,3.390367824,jroberto,Oriximina/PA,earthquake,N,POINT (-56.484589 0.259814)
usp2021qpkd,2021-08-25 02:44:02.273548,0.0,jroberto,USP,mR,1.788267618,jroberto,Itiuba/BA,earthquake,NE,POINT (-39.723301 -10.706868)
usp2021qjwt,2021-08-22 02:17:51.987709,0.0,jroberto,USP,mb,4.204113847,jroberto,Feijó/AC,earthquake,N,POINT (-70.257347 -8.358491)
usp2021qdqj,2021-08-18 16:14:55.746935,0.0,jroberto,USP,mR,2.46290213,jroberto,Jaguarari/BA,earthquake,NE,POINT (-39.842651 -9.996621)
usp2021qatf,2021-08-17 02:16:53.870632,0.0,jroberto,USP,mR,2.601429645,jroberto,Rubim/MG,earthquake,SE,POINT (-40.537823 -16.379818)
usp2021pyvv,2021-08-16 01:19:32.640901,0.0,jroberto,USP,mR,2.099471682,jroberto,Congonhas/MG,earthquake,SE,POINT (-43.819088 -20.543503)
usp2021pvkc,2021-08-14 03:59:49.474539,0.0,jroberto,USP,mR,2.86230628,jroberto,Lassance/MG,earthquake,SE,POINT (-44.657406 -17.780516)
usp2021pngi,2021-08-09 17:00:10.156173,0.0,jroberto,USP,mR,1.921940065,jroberto,Bezerros/PE,earthquake,NE,POINT (-35.787842 -8.262503)
usp2021pmfy,2021-08-09 03:40:19.644954,0.0,jroberto,USP,mR,1.679522308,jroberto,Mar Vermelho/AL,earthquake,NE,POINT (-36.375999 -9.412144)
usp2021pjcg,2021-08-07 10:24:24.970131,0.0,jroberto,USP,mR,2.113669802,jroberto,Pão de Açúcar/AL,earthquake,NE,POINT (-37.350594 -9.782482)
usp2021pgao,2021-08-05 18:07:40.477336,0.0,jroberto,USP,mR,1.683318142,jroberto,Barro/PB,earthquake,NE,POINT (-38.638767 -7.09544)
