event,label_cat,mag,lat,lon,pred,prob_nat
20201103183152,0,0.6641973507,-27.21613754,-52.17218406,0,0.791
20201103175651,0,0.6836437822,-27.21364533,-52.16932243,0,0.956
20201103172753,0,0.8909907383,-27.21679854,-52.17189449,0,0.765
20201103171422,0,0.5912328531,-27.20236022,-52.16855731,0,0.59
20201103165206,0,0.5074864833,-27.22121277,-52.17423985,1,0.454
20201103161056,0,0.759278536,-27.21208762,-52.1753943,1,0.315
20201103145315,0,0.8442332651,-27.2061603,-52.18645373,0,0.917
20201103141107,0,0.6231990795,-27.20259703,-52.18464212,0,0.807
20201103134738,0,0.7242978908,-27.20956036,-52.18720333,0,0.904
20201103134600,0,0.7344250162,-27.20535218,-52.18505726,0,0.551
20201102100804,0,0.1425811461,-27.63215457,-51.33761364,0,0.951
20201029163948,0,0.06491167075,-27.21722767,-52.06226136,0,0.9
20201029032121,0,-0.3276981915,-27.34817081,-52.31905361,0,0.982
20201028205608,0,-0.3088940547,-27.20778062,-52.07164657,0,0.764
20201028170021,1,1.358149391,-27.20407105,-52.05129752,1,0.106
20201028144950,1,0.5402882864,-27.1493231,-52.30851655,1,0.398
20201027164723,0,-0.4737499353,-27.23520583,-52.10819584,1,0.036
20201027141218,0,-0.159373412,-27.21037185,-52.06680681,0,0.842
20201027140932,0,-0.2162227795,-27.23502415,-52.08282539,0,0.941
20201027114847,0,-0.2533004601,-27.22273693,-52.06090291,0,0.867
20201025015810,0,-0.9299469992,-27.16927608,-52.1720812,0,0.984
20201022171456,0,0.4321936482,-27.21980355,-52.03950694,0,0.931
20201016171408,0,0.748073936,-27.23033269,-52.06190779,0,0.826
20201016170129,1,0.8701659291,-27.21114286,-52.05661482,1,0.137
20201013135413,0,0.7586500434,-27.35365121,-52.32180375,0,0.957
20201009131225,0,0.4291799503,-27.89109688,-51.11728576,0,0.64
20201008152212,1,2.286941507,-27.76977539,-51.61910629,1,0.468
20201008070709,0,-0.4824336784,-27.26926261,-52.37530311,0,0.973
20201008070204,0,-0.7193947195,-27.34575029,-52.36553896,0,0.913
20201007144953,0,-0.845066256,-27.27498876,-52.37201719,0,0.569
20201006164237,0,0.4370398928,-27.34228377,-52.33561855,0,0.942
20201006141944,0,-0.324074184,-27.26797837,-52.3616116,1,0.262
20201006131930,0,-0.2636646352,-27.35119491,-52.32241972,0,0.52
20201002105204,0,0.6590262293,-27.66672001,-51.23504024,0,0.895
20200923105545,0,-0.5731802668,-27.68542229,-51.33893303,1,0.152
20200923104751,0,-0.3526961253,-27.71390588,-51.30536748,1,0.11
20200923102123,0,0.1151517716,-27.67410323,-51.35733052,1,0.183
20200923101255,0,-0.7703805548,-27.68264791,-51.33349808,1,0.439
20200922180857,1,1.04667489,-27.61029121,-52.32135406,0,0.763
20200922154740,1,0.3509994281,-27.39376773,-51.25967149,0,0.966
20200921044044,0,-0.269099627,-27.34722221,-52.3380282,0,0.891
20200917132218,0,-0.1441782721,-27.71646041,-51.32361838,1,0.092
