folder,match_status,sisbra_time,sisbra_lat,sisbra_lon,sisbra_mag,fdsn_event_id,fdsn_origin_time,picks_count
20221228T034230_usp2022zjvy_row5192,matched,2022-12-28T03:42:30Z,-19.51,-44.22,2.9,usp2022zjvy,2022-12-28T03:42:30.655564Z,10
20221228T135247_row5193,no_match,2022-12-28T13:52:47Z,-19.51,-44.22,1.7,,,0
20221229T005756_usp2022zlma_row5194,matched,2022-12-29T00:57:59Z,-12.65,-48.95,3.4,usp2022zlma,2022-12-29T00:57:56.330733Z,0
20221229T143959_row5195,no_match,2022-12-29T14:39:59Z,-5.53,-35.66,2.1,,,0
20221229T195500_row5196,no_match,2022-12-29T19:55:00Z,-10.55,-40.59,2.1,,,0
20221230T180548_usp2022zopl_row5197,matched,2022-12-30T18:05:00Z,-11.25,-40.54,2.4,usp2022zopl,2022-12-30T18:05:48.801291Z,3
20230101T002438_usp2023aaav_row5198,matched,2023-01-01T00:24:39Z,-25.36,-46.61,2.6,usp2023aaav,2023-01-01T00:24:38.942284Z,6
20230104T114247_usp2023agjs_row5199,matched,2023-01-04T11:42:48Z,-19.73,-43.98,2.7,usp2023agjs,2023-01-04T11:42:47.810000Z,3
20230105T204539_row5200,no_match,2023-01-05T20:45:39Z,-11.28,-40.53,2.7,,,0
20230106T050922_usp2023ajns_row5201,matched,2023-01-06T05:09:23Z,-9.86,-39.82,2.4,usp2023ajns,2023-01-06T05:09:22.841341Z,5
20230106T145607_usp2023akhc_row5202,matched,2023-01-06T14:56:08Z,-10.97,-39.32,2.0,usp2023akhc,2023-01-06T14:56:07.770631Z,3
20230109T152608_usp2023apuo_row5203,matched,2023-01-09T15:26:09Z,-7.62,-40.29,2.2,usp2023apuo,2023-01-09T15:26:08.681815Z,4
20230110T211555_usp2023asbq_row5204,matched,2023-01-10T21:15:56Z,-20.4,-56.21,2.1,usp2023asbq,2023-01-10T21:15:55.816215Z,5
20230112T151818_usp2023avgv_row5205,matched,2023-01-12T15:18:18Z,-17.97,-47.79,2.4,usp2023avgv,2023-01-12T15:18:18.078665Z,4
20230112T205150_usp2023avrv_row5206,matched,2023-01-12T20:51:51Z,-3.92,-40.15,2.1,usp2023avrv,2023-01-12T20:51:50.720456Z,4
20230116T173354_usp2023bcti_row5207,matched,2023-01-16T17:33:55Z,-11.32,-40.45,2.4,usp2023bcti,2023-01-16T17:33:54.743942Z,3
20230117T002256_row5208,no_match,2023-01-17T00:22:56Z,-19.12,-47.65,2.1,,,0
