#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
ON|JAC01||HHZ|-24.81142|-48.102354|297.0|0.0|0.0|-90.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2011-10-26T00:00:00|2015-07-07T23:59:59.0999
ON|MAJ01||HHE|-27.397245|-49.011794|344.0|0.0|90.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2011-11-28T00:00:00|
ON|MAJ01||HHN|-27.397245|-49.011794|344.0|0.0|0.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2011-11-28T00:00:00|
ON|MAJ01||HHZ|-27.397245|-49.011794|344.0|0.0|0.0|-90.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2011-11-28T00:00:00|
ON|MAN01||HH1|-22.86516|-43.964094|617.0|0.0|19.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2011-10-06T00:00:00|2017-07-15T13:00:00
ON|MAN01||HH1|-22.86516|-43.964094|617.0|0.0|0.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2017-07-15T13:00:01|
ON|MAN01||HH2|-22.86516|-43.964094|617.0|0.0|109.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2011-10-06T00:00:00|2017-07-15T13:00:00
ON|MAN01||HH2|-22.86516|-43.964094|617.0|0.0|90.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2017-07-15T13:00:01|
ON|MAN01||HHZ|-22.86516|-43.964094|617.0|0.0|0.0|-90.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2011-10-06T00:00:00|
ON|NAN01||HH1|-17.844167|-40.125667|206.0|0.0|22.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2011-09-09T00:00:00|2016-11-20T13:30:00
ON|NAN01||HH1|-17.844167|-40.125667|206.0|0.0|0.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330SR, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2016-11-20T13:30:01|
ON|NAN01||HH2|-17.844167|-40.125667|206.0|0.0|112.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2011-09-09T00:00:00|2016-11-20T13:30:00
ON|NAN01||HH2|-17.844167|-40.125667|206.0|0.0|90.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330SR, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2016-11-20T13:30:01|
ON|NAN01||HHZ|-17.844167|-40.125667|206.0|0.0|0.0|-90.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2011-09-09T00:00:00|
ON|NAN01||HHZ|-17.844167|-40.125667|206.0|0.0|0.0|-90.0|STS-2.5, 120s, 1500 V/m/s-Q330SR, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2016-11-20T13:30:01|
ON|ON02||BHE|-22.896781|-43.224618|0.0|0.0|90.0|0.0|RT151, 120 s, 2000 V/m/s-RT130, gain 1, 100 sps|1253310000.0|0.05|M/S|20.0|2012-06-25T15:49:00|
ON|ON02||BHN|-22.896781|-43.224618|0.0|0.0|0.0|0.0|RT151, 120 s, 2000 V/m/s-RT130, gain 1, 100 sps|1253310000.0|0.05|M/S|20.0|2012-06-25T15:49:00|
ON|ON02||BHZ|-22.896781|-43.224618|0.0|0.0|0.0|-90.0|RT151, 120 s, 2000 V/m/s-RT130, gain 1, 100 sps|1253310000.0|0.05|M/S|20.0|2012-06-25T15:49:00|
ON|ON02||HHE|-22.896781|-43.224618|0.0|0.0|90.0|0.0|RT151, 120 s, 2000 V/m/s-RT130, gain 1, 100 sps|1253310000.0|0.05|M/S|100.0|2012-06-25T15:49:00|
ON|ON02||HHN|-22.896781|-43.224618|0.0|0.0|0.0|0.0|RT151, 120 s, 2000 V/m/s-RT130, gain 1, 100 sps|1253310000.0|0.05|M/S|100.0|2012-06-25T15:49:00|
ON|ON02||HHZ|-22.896781|-43.224618|0.0|0.0|0.0|-90.0|RT151, 120 s, 2000 V/m/s-RT130, gain 1, 100 sps|1253310000.0|0.05|M/S|100.0|2012-06-25T15:49:00|
ON|ON02||LHE|-22.896781|-43.224618|0.0|0.0|90.0|0.0|RT151, 120 s, 2000 V/m/s-RT130, gain 1, 100 sps|1253310000.0|0.05|M/S|1.0|2012-06-25T15:49:00|
ON|ON02||LHN|-22.896781|-43.224618|0.0|0.0|0.0|0.0|RT151, 120 s, 2000 V/m/s-RT130, gain 1, 100 sps|1253310000.0|0.05|M/S|1.0|2012-06-25T15:49:00|
